馬匹編號,馬名,完成時間
12,部族高手,81.43
5,勁勇皇駒,81.53
4,嵐臣,82.19
3,機械之星,82.22
14,星光快驅,82.28
13,加州勇勝,82.5
11,幸運威龍,82.6
2,孤風潛影,83.1
