馬匹編號,馬名,完成時間
5,冷娃,68.81
13,傑出雷霆,68.87
4,增強,69.12
6,健康快車,69.2
3,星月飛雲,69.27
1,飲杯,69.29
8,飛馬座,69.34
2,綫路滿貫,69.72
14,幸運糖,70.07
12,龍虎精神,70.26
7,耀寶,72.91
