馬匹編號,馬名,完成時間
3,風雲武士,80.74
7,晒冷,80.96
2,光年魅力,81.05
11,極上紗瓏,81.13
5,時時歡聲,81.15
9,韋金主,81.19
12,千帆駒,81.36
1,包裝天將,81.36
10,飛鷹翱翔,81.48
4,綠族無限,81.53
8,會當凌,81.67
13,至尊高超,81.81
