馬匹編號,馬名,前段位置中位數
8,奮鬥輝煌,5
11,隼風雲,9
2,劍飛聲,10
13,威力非凡,11
3,家傳之寶,11
9,綫路福將,12
12,最好玩,12
6,大回報,13
