日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-16,HV,grass,好/快,1200,108,12,心雄雄,13,14,8,46.12,46.88,-0.17,24.12,1.57,71.0,1.4,9,勇敢巨星,多利彩駒,添開心,湯普新,韋紀力,3,124,118
2024-11-17,ST,grass,好,1200,192,07,心雄雄,13,14,7,45.76,46.48,-0.17,23.0,0.65,69.48,0.48,10,競駿先鋒,樂勝天下,健康快車,楊明綸,韋紀力,3,119,118
2024-12-01,ST,grass,好,1000,225,05,心雄雄,13,14,12,33.79,34.03,-1.77,22.97,2.32,57.0,0.55,9,添開心,星際快車,連連有盈,楊明綸,韋紀力,3,117,118
2024-12-29,ST,grass,好,1000,304,06,心雄雄,13,14,5,33.63,34.27,-1.53,22.9,2.25,57.17,0.72,12,連連有盈,英雄豪邁,志滿同行,楊明綸,韋紀力,3,118,118
2025-01-12,ST,grass,好,1200,338,04,心雄雄,13,14,2,47.03,47.31,0.41,23.07,0.62,70.38,1.03,5,騰龍四海,洛河,歡樂飛駒,楊明綸,韋紀力,4,135,118
2025-03-02,ST,grass,好,1200,469,08,心雄雄,13,14,14,46.75,47.63,0.73,21.9,-0.55,69.53,0.18,14,極速贏,天下寵兒,鼓浪高升,楊明綸,韋紀力,4,135,118
2025-03-12,HV,grass,好/快,1200,503,07,心雄雄,13,14,8,45.75,46.39,-0.66,23.14,0.59,69.53,-0.07,9,無限美麗,運高八斗,川河動駒,楊明綸,韋紀力,3,118,118
2025-04-13,ST,grass,好,1400,586,10,心雄雄,13,14,5,58.06,58.82,0.22,23.64,0.24,82.46,0.46,13,笑喜喜,勁沙塵,綫路神驊,楊明綸,韋紀力,4,130,118
2025-05-07,HV,grass,好,1650,656,06,心雄雄,13,14,10,75.73,76.69,0.84,24.02,-0.23,100.71,0.61,10,大學生,論文,銀騰,楊明綸,韋紀力,4,128,118
2025-06-04,HV,grass,好/黏,1650,731,09,心雄雄,13,14,12,76.54,77.22,1.37,25.48,1.23,102.7,2.6,8,龍文鞭影,川河首駒,極速滿貫,楊明綸,韋紀力,4,129,118
2025-09-14,ST,grass,好/快,1400,023,04,心雄雄,13,14,10,58.0,58.48,-0.12,22.92,-0.48,81.4,-0.6,11,勁沙塵,友瑩仁,後無來者,楊明綸,韋紀力,4,123,118
2025-10-12,ST,grass,好,1400,088,02,心雄雄,13,14,13,58.64,59.32,0.72,22.44,-0.96,81.76,-0.24,12,開心五月,心雄雄,超旺財,楊明綸,韋紀力,4,122,118
2025-11-09,ST,grass,好,1400,167,10,心雄雄,13,14,10,59.62,60.34,1.74,23.28,-0.12,83.62,1.62,11,戀愛狂,龍城強將,巴閉佬,楊明綸,韋紀力,4,123,118
2025-12-07,ST,grass,好,1400,239,03,心雄雄,13,14,13,58.74,59.54,0.94,22.92,-0.48,82.46,0.46,14,笑喜喜,一世美麗,心雄雄,楊明綸,韋紀力,4,124,118
2026-01-04,ST,grass,好,1400,319,01,心雄雄,13,14,3,57.9,58.22,-0.38,23.32,-0.08,81.54,-0.46,7,心雄雄,細水長流,紅衣醒目,楊明綸,韋紀力,4,123,118
2026-01-25,ST,grass,好/快,1400,380,01,心雄雄,13,14,13,57.61,58.29,-0.31,22.96,-0.44,81.25,-0.75,13,心雄雄,友瑩仁,哥倫布,楊明綸,韋紀力,4,130,118
2026-02-19,ST,grass,好,1400,454,06,心雄雄,13,14,3,59.26,60.02,1.52,22.38,-0.77,82.4,0.75,11,同心同樂,綠野飛馳,做好自己,楊明綸,韋紀力,3,119,118
2026-03-25,HV,grass,好,1650,552,09,心雄雄,13,14,8,77.18,78.02,2.37,23.58,-0.67,101.6,1.7,9,凌登,瑪瑙,一起美麗,楊明綸,韋紀力,3,119,118
2026-04-12,ST,grass,好,1400,602,06,心雄雄,13,14,7,59.43,59.79,1.29,22.93,-0.22,82.72,1.07,8,重情重義,安泰,亨驥,楊明綸,韋紀力,3,120,118
