日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-07-13,ST,grass,好/快,1400,838,13,加州熱浪,11,7,2,57.83,59.03,0.53,23.55,0.4,82.58,0.93,9,美麗星晨,勇冠群英,泰泰精神,鍾易禮,田泰安,3,122,118
2025-09-14,ST,grass,好/快,1400,028,05,加州熱浪,11,7,9,59.69,60.21,1.71,22.16,-0.99,82.37,0.72,8,勇冠群英,金勝名駒,春風萬里,梁家俊,田泰安,3,124,118
2025-10-19,ST,grass,好/快,1600,113,09,加州熱浪,11,7,6,70.08,70.76,-0.14,23.5,-0.3,94.26,-0.44,9,火焰閃爍,幸運派彩,勁沙塵,周俊樂,田泰安,3,120,118
2025-11-15,ST,grass,好,1600,188,12,加州熱浪,11,7,7,71.52,71.88,0.98,23.71,-0.09,95.59,0.89,9,美麗星晨,英駿飛駒,勁沙塵,杜苑欣,田泰安,3,122,118
2025-12-20,ST,grass,好,1400,282,02,加州熱浪,11,7,5,58.33,58.61,0.11,23.28,0.13,81.89,0.24,11,超勁赤兔,加州熱浪,做好自己,艾道拿,田泰安,3,122,118
2026-01-11,ST,grass,好/快,1600,343,05,加州熱浪,11,7,12,70.39,71.03,0.13,23.55,-0.25,94.58,-0.12,7,白鷺金剛,美麗星晨,超勁赤兔,班德禮,田泰安,3,119,118
2026-02-01,ST,grass,好,1600,403,09,加州熱浪,11,7,1,70.62,71.14,0.24,23.49,-0.31,94.63,-0.07,5,一生好彩,紫荊傳令,天然數字,巴度,田泰安,3,120,118
2026-02-19,ST,grass,好,1400,454,10,加州熱浪,11,7,5,59.26,60.18,1.68,22.51,-0.64,82.69,1.04,9,同心同樂,綠野飛馳,做好自己,艾道拿,田泰安,3,122,118
2026-03-08,ST,grass,好,1400,505,03,加州熱浪,11,7,11,59.19,59.63,1.13,22.64,-0.51,82.27,0.62,8,時時歡聲,綠野飛馳,加州熱浪,梁家俊,田泰安,3,120,118
2026-03-29,ST,grass,好/快,1400,561,07,加州熱浪,11,7,1,58.25,59.13,0.63,22.79,-0.36,81.92,0.27,11,極上紗瓏,開心三寶,新力好,梁家俊,田泰安,3,121,118
