馬匹編號,馬名,平均比標準時間
1,都靈冠星,-0.18
6,旌採,-0.07
3,亨驥,0.18
2,馬寶寶,0.19
12,增旺,0.25
10,知道穩勝,0.32
9,大回報,0.36
4,朗日自強,0.47
13,精明選擇,0.56
7,博愛先鋒,0.57
8,翹峯,0.74
11,無極勇將,0.86
14,一鹿歡騰,0.94
5,時尚歡欣,1.08
