日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-19,ST,grass,好/快,1200,185,11,久久為尊,1,6,14,45.93,47.41,0.76,22.16,-0.19,69.57,0.57,14,錶之銀河,星運少爵,爵登,梁家俊,麥道朗,3,119,135
2023-12-17,ST,grass,好,1600,259,03,久久為尊,1,6,6,72.82,73.66,2.76,22.42,-1.38,96.08,1.38,11,勁速威龍,一定美麗,久久為尊,梁家俊,麥道朗,3,120,135
2024-01-13,ST,grass,好,1600,341,07,久久為尊,1,6,8,71.44,72.0,1.1,23.46,-0.34,95.46,0.76,12,快路,精算謀略,金佰令,梁家俊,麥道朗,3,117,135
2024-01-28,ST,grass,好,1600,377,03,久久為尊,1,6,3,70.89,71.77,0.87,23.34,-0.46,95.11,0.41,8,魅力知遇,港林福將,久久為尊,田泰安,麥道朗,3,121,135
2024-04-28,ST,grass,黏,1600,618,05,久久為尊,1,6,3,69.99,70.95,0.05,24.26,0.46,95.21,0.51,9,話你知,遨遊武士,隱形翅膀,田泰安,麥道朗,3,129,135
2024-05-05,ST,grass,好,1800,639,04,久久為尊,1,6,1,83.34,83.9,0.4,23.82,-0.18,107.72,0.22,8,好勁力,東方飛影,明亮天下,布文,麥道朗,3,128,135
2024-06-08,ST,grass,好,1800,739,12,久久為尊,1,6,9,83.79,84.51,1.01,30.01,6.01,114.52,7.02,10,桃花開,陽明天空,建測羣英,布文,麥道朗,3,127,135
2024-09-15,ST,grass,好/快,1400,028,08,久久為尊,1,6,8,58.3,59.22,0.72,22.5,-0.65,81.72,0.07,12,陽光勇士,將義,勁進駒,霍宏聲,麥道朗,3,126,135
2024-09-28,ST,grass,好,1600,063,06,久久為尊,1,6,10,70.54,72.06,1.16,22.78,-1.02,94.84,0.14,12,和平波,遨遊武士,將義,霍宏聲,麥道朗,3,127,135
2024-10-20,ST,grass,好/快,1600,119,02,久久為尊,1,6,7,71.44,72.16,1.26,22.69,-1.11,94.85,0.15,11,愛心神駒,快路,久久為尊,田泰安,麥道朗,3,126,135
2024-11-09,ST,grass,好/快,1600,175,03,久久為尊,1,6,1,70.04,70.68,-0.22,23.33,-0.47,94.01,-0.69,11,遨遊武士,豐盛,久久為尊,田泰安,麥道朗,3,125,135
2024-12-08,ST,grass,好,1800,245,07,久久為尊,1,6,10,83.79,84.99,1.49,23.31,-0.69,108.3,0.8,10,加州動員,和平波,愛心神駒,田泰安,麥道朗,3,130,135
2025-01-01,ST,grass,好,1600,317,06,久久為尊,1,6,2,71.84,72.56,1.66,22.74,-1.06,95.3,0.6,10,大浪圖田,遙遙領先,祝願,田泰安,麥道朗,3,119,135
2025-01-22,HV,grass,好,1800,373,01,久久為尊,1,6,10,86.24,87.2,2.2,22.54,-1.91,109.74,0.29,11,久久為尊,唯美主義,一支箭,艾道拿,麥道朗,3,124,135
2025-02-19,HV,grass,好,1800,443,03,久久為尊,1,6,4,84.09,85.21,0.21,23.33,-1.12,108.54,-0.91,8,快路,盈益善,久久為尊,艾道拿,麥道朗,3,125,135
2025-03-12,HV,grass,好/快,1800,504,05,久久為尊,1,6,7,86.24,87.36,2.36,22.71,-1.74,110.07,0.62,9,一起美麗,快路,北海盜,艾道拿,麥道朗,3,129,135
2025-03-23,ST,grass,好/快,1400,528,04,久久為尊,1,6,10,58.35,59.11,0.61,22.23,-0.92,81.34,-0.31,12,安泰,穿甲戰鷹,美麗邂逅,艾道拿,麥道朗,3,133,135
2025-04-06,ST,grass,好,1600,571,03,久久為尊,1,6,6,70.56,71.24,0.34,23.28,-0.52,94.52,-0.18,11,首飾天空,龍城精將,久久為尊,艾道拿,麥道朗,3,129,135
2025-04-27,ST,grass,好,1600,628,04,久久為尊,1,6,1,70.62,70.98,0.08,23.6,-0.2,94.58,-0.12,7,共享富裕,大浪圖田,鐵金剛,艾道拿,麥道朗,3,129,135
2025-05-18,ST,grass,好/快,1600,687,09,久久為尊,1,6,4,72.4,73.08,2.18,22.67,-1.13,95.75,1.05,9,金勝名駒,龍城精將,大浪圖田,艾兆禮,麥道朗,3,130,135
2025-06-04,HV,grass,好/黏,1800,734,07,久久為尊,1,6,7,88.2,88.92,3.92,23.58,-0.87,112.5,3.05,10,春風萬里,包裝創新,港林福將,艾道拿,麥道朗,3,126,135
2025-06-14,ST,grass,好,1800,764,04,久久為尊,1,6,2,83.27,83.71,0.21,23.87,-0.13,107.58,0.08,10,春風萬里,君子傳承,天將龍駒,艾道拿,麥道朗,3,127,135
2025-07-09,HV,grass,好/快,1800,826,07,久久為尊,1,6,2,85.34,86.06,1.11,22.93,-1.27,108.99,-0.16,10,銀進,木火兄弟,包裝創新,田泰安,麥道朗,2,115,135
2025-10-12,ST,grass,好,1400,094,10,久久為尊,1,6,11,57.23,58.31,-0.19,23.61,0.46,81.92,0.27,12,仁心星,勇冠群英,天福,潘大衛,麥道朗,3,120,135
2025-10-19,ST,grass,好/快,1400,112,05,久久為尊,1,6,7,57.3,58.38,-0.12,23.06,-0.09,81.44,-0.21,14,駿奕快車,大眾福星,哈羅威,金誠剛,麥道朗,3,118,135
2025-11-02,HV,grass,好/快,1650,150,04,久久為尊,1,6,2,77.22,77.82,2.17,22.88,-1.37,100.7,0.8,7,我做到,蓮冠皇,泰泰精神,金誠剛,麥道朗,3,117,135
2025-11-12,HV,grass,好/快,1800,177,04,久久為尊,1,6,12,85.71,86.55,1.55,23.12,-1.33,109.67,0.22,10,非惟僥倖,滿心星,奔放,金誠剛,麥道朗,3,117,135
2025-12-10,HV,grass,好,1650,249,08,久久為尊,1,6,10,75.86,76.7,0.85,24.21,-0.04,100.91,0.81,10,相映紅,祥勝將軍,將義,麥道朗,麥道朗,4,135,135
