horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
8,風采人生,3.1,2.8,0.11,997068.65,67052.76,930015.89,1.5,1.4,0.07,1457684.25,94783.66,1362900.59
4,財將,4.5,7.1,-0.37,686869.52,26443.34,660426.18,2.1,3.6,-0.42,1041203.04,36860.31,1004342.73
3,美麗登場,5.5,5.7,-0.04,561984.15,32938.2,529045.95,2.1,2.4,-0.12,1041203.04,55290.47,985912.57
1,巴閉王,6.7,7.8,-0.14,461330.27,24070.22,437260.05,2.4,2.3,0.04,911052.66,57694.4,853358.26
12,萬眾開心,10.0,8.5,0.18,309091.28,22087.97,287003.31,2.9,2.7,0.07,753974.61,49147.08,704827.53
2,凝聚美麗,14.0,15.0,-0.07,220779.49,12516.51,208262.98,3.3,4.0,-0.18,662583.75,33174.28,629409.47
10,佳佳友,17.0,17.0,0.0,181818.4,11043.98,170774.42,2.9,2.1,0.38,753974.61,63189.11,690785.5
11,友得盈,19.0,21.0,-0.1,162679.62,8940.37,153739.25,3.6,6.7,-0.46,607368.44,19805.54,587562.9
6,精算奕然,35.0,20.0,0.75,88311.79,9387.39,78924.4,6.5,4.0,0.62,336388.67,33174.28,303214.39
7,喜樂之星,39.0,18.0,1.17,79254.17,10430.43,68823.74,8.2,4.7,0.74,266649.56,28233.43,238416.13
5,領袖勁力,97.0,80.0,0.21,31865.08,2346.85,29518.23,17.0,15.0,0.13,128619.2,8846.47,119772.73
9,怪獸波士,109.0,69.0,0.58,28357.0,2720.98,25636.02,17.0,14.0,0.21,128619.2,9478.37,119140.83
