horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
2,仁仁有餘,2.8,2.6,0.08,687121.58,49847.45,637274.13,1.8,1.5,0.2,761599.67,59700.85,701898.82
9,你知我得,6.3,9.8,-0.36,305387.37,13224.83,292162.54,2.1,3.3,-0.36,652799.71,27136.75,625662.96
6,三強,7.0,6.7,0.04,274848.63,19343.79,255504.84,2.4,2.1,0.14,571199.75,42643.46,528556.29
7,博愛先鋒,10.0,14.0,-0.29,192394.04,9257.38,183136.66,1.9,3.2,-0.41,721515.47,27984.77,693530.7
5,朗日自強,10.0,11.0,-0.09,192394.04,11782.12,180611.92,2.7,2.8,-0.04,507733.11,31982.6,475750.51
10,星光快驅,10.0,7.3,0.37,192394.04,17753.89,174640.15,3.0,2.2,0.36,456959.8,40705.12,416254.68
11,有你有我,14.0,18.0,-0.22,137424.32,7200.19,130224.13,3.8,3.9,-0.03,360757.74,22961.87,337795.87
1,開心孖寶,16.0,13.0,0.23,120246.28,9969.49,110276.79,5.0,5.0,0.0,274175.88,17910.26,256265.62
4,紅愛舍,17.0,16.0,0.06,113172.97,8100.21,105072.76,4.6,4.1,0.12,298017.26,21841.77,276175.49
3,莊家班,24.0,20.0,0.2,80164.18,6480.17,73684.01,6.3,5.4,0.17,217599.9,16583.57,201016.33
8,神異金剛,43.0,31.0,0.39,44742.8,4180.75,40562.05,9.5,6.8,0.4,144303.09,13169.31,131133.78
12,飛越晨曦,74.0,63.0,0.17,25999.19,2057.2,23941.99,14.0,10.0,0.4,97919.96,8955.13,88964.83
