馬匹編號,馬名,平均比標準時間
6,臻至辰,0.14
2,米奇,0.15
4,俏眼光,0.21
10,百威多贏,0.3
3,閃耀天河,0.34
1,星月飛雲,0.35
5,手到齊來,0.61
8,孤風潛影,0.66
7,驍將,1.08
11,方圓星,1.25
9,幸運大夫,1.57
