馬匹編號,馬名,平均比標準時間
3,手機錶勁,0.08
14,果然僥倖,0.13
10,凱旋王者,0.22
11,奇異歡星,0.39
4,馬達,0.43
2,紅愛舍,0.47
9,準希望,0.57
8,金多囍,0.61
12,競駿傳奇,0.78
13,超智多寶,1.01
5,種得好,1.11
1,展雄威,1.25
