馬匹編號,馬名,平均比標準時間
10,穿甲戰鷹,-0.1
4,扶搖勢勁,-0.09
6,志滿同行,-0.02
8,鋼鐵安防,0.15
11,巴閉王,0.2
9,首飾悟空,0.57
3,巴基之勝,0.79
1,鑽石星空,1.09
7,正極,1.14
