race_course,type,distance,class,total_time,first_sec,second_sec,third_sec,fourth_sec,fifth_sec,sixith_sec
HV,grass,1650,1,1.39.10,28.45,23.9,23.35,23.4,0.0,0.0
HV,grass,1650,2,1.39.30,28.0,23.85,23.8,23.65,0.0,0.0
HV,grass,1650,3,1.39.90,27.95,23.85,24.25,23.85,0.0,0.0
HV,grass,1650,4,1.40.10,28.0,23.8,24.25,24.05,0.0,0.0
HV,grass,1650,5,1.40.30,27.95,23.9,24.25,24.2,0.0,0.0
HV,grass,1800,0,1.48.95,13.65,22.9,24.35,24.15,23.9,0.0
HV,grass,1800,2,1.49.15,13.65,22.8,24.55,24.2,23.95,0.0
HV,grass,1800,3,1.49.45,13.75,23.0,24.3,24.45,23.95,0.0
HV,grass,1800,4,1.49.65,13.75,22.9,24.35,24.35,24.3,0.0
HV,grass,1800,5,1.49.95,13.7,22.8,24.5,24.4,24.55,0.0
HV,grass,2200,3,2.16.60,14.35,23.7,24.95,24.85,24.45,24.3
HV,grass,2200,4,2.17.05,14.4,23.6,25.25,25.15,24.3,24.35
HV,grass,2200,5,2.17.35,14.35,23.7,25.4,25.15,24.15,24.6
ST,dirt,1200,2,1.08.35,23.35,21.95,23.05,0.0,0.0,0.0
ST,dirt,1200,3,1.08.55,23.3,22.05,23.2,0.0,0.0,0.0
ST,dirt,1200,4,1.08.95,23.3,22.1,23.55,0.0,0.0,0.0
ST,dirt,1200,5,1.09.35,23.35,22.35,23.65,0.0,0.0,0.0
ST,dirt,1650,1,1.37.80,27.8,22.85,23.25,23.9,0.0,0.0
ST,dirt,1650,2,1.38.40,27.9,23.55,23.05,23.9,0.0,0.0
ST,dirt,1650,3,1.38.60,27.9,23.0,23.75,23.95,0.0,0.0
ST,dirt,1650,4,1.39.05,27.95,23.15,23.8,24.15,0.0,0.0
ST,dirt,1650,5,1.39.45,27.95,23.2,24.0,24.3,0.0,0.0
ST,dirt,1800,3,1.48.05,13.75,22.8,23.7,23.85,23.95,0.0
ST,dirt,1800,4,1.48.55,13.6,23.1,24.05,23.65,24.15,0.0
ST,dirt,1800,5,1.49.45,13.75,23.2,23.95,24.25,24.3,0.0
