馬匹編號,馬名,平均比標準時間
4,快樂寶寶,0.08
3,喆喆友福,0.48
8,首駿,0.5
2,金快飛飛,0.64
12,劍無情,0.68
10,添喜運,0.74
7,南區旺,0.89
13,鼓浪飛凡,0.89
1,神燦金剛,1.09
5,魅力星,1.1
6,怡昌奇兵,1.13
11,駿先生,1.21
14,東方福寶,1.72
9,東昇鉞,1.8
