馬匹編號,馬名,完成時間
14,滿洛城,94.77
9,長峰小子,94.82
12,榮耀掌星,95.38
8,彭玥,95.4
1,鬥志波,95.69
11,平海之星,96.14
6,本領輝煌,96.39
3,八仟財陞,96.84
