馬匹編號,馬名,平均比標準時間
6,寶成智好,-0.2
1,精英高球,0.24
9,安定神駒,0.27
4,馬鳳凰,0.32
12,解碼,0.52
5,巴閉哥,0.62
14,天天更好,0.76
10,瑰麗人生,0.8
13,嘉嘉友福,0.86
8,不勞而獲,0.89
11,鳳翼天翔,1.1
3,吉星騎士,1.62
2,年年豐裕,1.82
