馬匹編號,馬名,平均比標準時間
5,機不可失,0.06
3,三強,0.36
9,賢者威楓,0.42
1,千杯敬典,0.5
11,明亮光輝,0.63
4,超霸勝,0.71
8,小魔怪,0.75
10,杭至尊,0.82
14,開心樂園,0.82
13,海藍寶,0.99
2,怡昌光輝,1.09
7,怪獸波士,1.27
12,好多利高,1.29
