horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
3,皇者有利,1.7,3.2,-0.47,12120480.22,504998.23,11615481.99,1.3,1.3,0.0,13676928.69,915349.56,12761579.13
4,團結戰靈,6.0,4.5,0.33,3434136.06,359109.85,3075026.21,1.5,1.6,-0.06,11853338.2,743721.52,11109616.68
1,千杯敬典,8.2,7.5,0.09,2512782.48,215465.91,2297316.57,1.7,2.7,-0.37,10458827.82,440723.86,10018103.96
8,花好月盈,9.1,5.9,0.54,2264265.54,273897.34,1990368.2,2.2,2.0,0.1,8081821.5,594977.21,7486844.29
5,馬達,15.0,12.0,0.25,1373654.42,134666.19,1238988.23,3.8,3.3,0.15,4678949.29,360592.25,4318357.04
6,銀刺勇士,18.0,9.2,0.96,1144712.02,175651.56,969060.46,3.9,3.4,0.15,4558976.23,349986.6,4208989.63
12,八里旺,24.0,14.0,0.71,858534.02,115428.17,743105.85,4.7,3.6,0.31,3782980.28,330542.9,3452437.38
11,銳高,32.0,34.0,-0.06,643900.51,47529.24,596371.27,7.0,8.1,-0.14,2540001.04,146907.95,2393093.09
10,勇敢孖寶,43.0,34.0,0.26,479181.78,47529.24,431652.54,6.1,8.4,-0.27,2914755.3,141661.24,2773094.06
7,佳運發,53.0,23.0,1.3,388770.12,70260.62,318509.5,10.0,5.6,0.79,1778000.73,212491.86,1565508.87
2,賢者福星,104.0,40.0,1.6,198123.23,40399.86,157723.37,21.0,9.7,1.16,846667.01,122675.71,723991.3
