horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,富喜來,9.4,9.4,0.0,1958164.09,1958164.09,0.0,3.1,3.1,0.0,5730863.03,5730863.03,0.0
2,管之友,8.6,8.6,0.0,2140318.89,2140318.89,0.0,2.2,2.2,0.0,8075307.0,8075307.0,0.0
3,架勢奇爸,15.0,15.0,0.0,1227116.16,1227116.16,0.0,4.6,4.6,0.0,3862103.35,3862103.35,0.0
4,夢照發,4.4,4.4,0.0,4183350.56,4183350.56,0.0,1.8,1.8,0.0,9869819.67,9869819.67,0.0
5,古惑大師,21.0,21.0,0.0,876511.55,876511.55,0.0,5.9,5.9,0.0,3011131.42,3011131.42,0.0
6,香港精神,13.0,13.0,0.0,1415903.27,1415903.27,0.0,3.9,3.9,0.0,4555301.38,4555301.38,0.0
7,幸運同行,5.7,5.7,0.0,3229253.07,3229253.07,0.0,2.0,2.0,0.0,8882837.7,8882837.7,0.0
8,捷足奔馳,16.0,16.0,0.0,1150421.4,1150421.4,0.0,4.9,4.9,0.0,3625648.04,3625648.04,0.0
9,開心三多,4.4,4.4,0.0,4183350.56,4183350.56,0.0,1.8,1.8,0.0,9869819.67,9869819.67,0.0
10,皇金風速,30.0,30.0,0.0,613558.08,613558.08,0.0,8.5,8.5,0.0,2090079.46,2090079.46,0.0
11,永勝金駒,18.0,18.0,0.0,1022596.8,1022596.8,0.0,5.1,5.1,0.0,3483465.76,3483465.76,0.0
12,同寶寶,32.0,32.0,0.0,575210.7,575210.7,0.0,9.3,9.3,0.0,1910287.68,1910287.68,0.0
