horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
2,開心孖寶,-0.0575,13.0,14.0,-0.0714,106292.81,95618.44,10674.37,0.0589,0.2041,3.4634,True,4.4,4.6,-0.0435,242456.62,224904.86,17551.76,0.1793,0.449,2.5038,True,1674917.0,1293102.0
10,星光大道,-0.0132,11.0,11.0,0.0,125618.77,121696.2,3922.57,0.075,0.075,1.0,False,3.7,3.8,-0.0263,288326.8,272253.26,16073.54,0.2171,0.4112,1.8941,False,1674917.0,1293102.0
3,蹺妙,-0.0085,18.0,18.0,0.0,76767.03,74369.9,2397.13,0.0458,0.0458,1.0,False,5.8,5.9,-0.0169,183932.61,175349.56,8583.05,0.1398,0.2196,1.5704,False,1674917.0,1293102.0
8,高明豐勝,-0.0081,61.0,62.0,-0.0161,22652.57,21591.26,1061.31,0.0133,0.0203,1.525,False,10.0,10.0,0.0,106680.92,103456.24,3224.68,0.0825,0.0825,1.0,False,1674917.0,1293102.0
1,馬馳登,0.0,9.3,9.3,0.0,148581.35,143941.74,4639.61,0.0887,0.0887,1.0,False,3.1,3.1,0.0,344131.98,333729.8,10402.18,0.2661,0.2661,1.0,False,1674917.0,1293102.0
5,星運少爵,0.0,3.8,3.8,0.0,363633.3,352278.47,11354.83,0.2171,0.2171,1.0,False,1.4,1.4,0.0,762006.54,738973.12,23033.42,0.5893,0.5893,1.0,False,1674917.0,1293102.0
6,活力輝煌,0.0,114.0,114.0,0.0,12121.11,11742.62,378.49,0.0072,0.0072,1.0,False,20.0,20.0,0.0,53340.46,51728.12,1612.34,0.0413,0.0413,1.0,False,1674917.0,1293102.0
7,彪形勇將,0.0,44.0,44.0,0.0,31404.69,30424.05,980.64,0.0188,0.0187,1.0,False,11.0,11.0,0.0,96982.65,94051.12,2931.53,0.075,0.075,1.0,False,1674917.0,1293102.0
9,利高八斗,0.0,5.6,5.6,0.0,246751.17,239046.11,7705.06,0.1473,0.1473,1.0,False,1.7,1.7,0.0,627534.79,608566.1,18968.69,0.4853,0.4853,1.0,False,1674917.0,1293102.0
11,賢者威楓,0.0,4.2,4.2,0.0,329001.55,318728.14,10273.41,0.1964,0.1964,1.0,False,1.7,1.7,0.0,627534.79,608566.1,18968.69,0.4853,0.4853,1.0,False,1674917.0,1293102.0
13,包裝天王,0.0,10.0,10.0,0.0,138180.65,133865.82,4314.83,0.0825,0.0825,1.0,False,3.9,3.9,0.0,273540.81,265272.4,8268.41,0.2115,0.2115,1.0,False,1674917.0,1293102.0
14,我最好,0.0,86.0,86.0,0.0,16067.52,15565.79,501.73,0.0096,0.0096,1.0,False,18.0,18.0,0.0,59267.17,57475.69,1791.48,0.0458,0.0458,1.0,False,1674917.0,1293102.0
12,雙子美麗,0.0053,37.0,37.0,0.0,37346.12,36179.95,1166.17,0.0223,0.0223,1.0,False,9.5,9.4,0.0106,112295.7,110059.83,2235.87,0.0878,0.0572,0.6518,False,1674917.0,1293102.0
4,幸運二十,0.0286,25.0,24.0,0.0417,55272.26,55777.42,-505.16,0.0344,-0.0097,-0.281,False,6.5,6.4,0.0156,164124.48,161650.37,2474.11,0.1289,0.0633,0.491,False,1674917.0,1293102.0
