馬匹編號,馬名,完成時間
2,顯勝高昇,68.7
1,暴風之子,68.86
11,起舞奜奜,68.86
4,開心五月,68.92
12,後無來者,68.99
10,飛來霸,69.45
9,不勞而獲,69.49
5,平天雄,69.77
6,火神神樂,70.17
