馬匹編號,馬名,完成時間
6,金玉良言,68.31
2,常嚐發財,69.16
1,天天耍樂,69.2
8,勁勇皇駒,69.26
9,勇者無敵,69.3
12,飛雲,69.42
4,贏得自然,69.45
10,摯友心得,69.98
