馬匹編號,馬名,平均比標準時間
4,賀龍飛翔,-0.05
12,天下寵兒,0.21
9,佳運發,0.47
13,英雄豪邁,0.66
14,運籌帷幄,0.72
8,日出東方,0.81
11,燊輝之星,1.01
6,綠茵明珠,1.1
10,幸運勝利,1.22
1,幸運二十,2.54
