馬匹編號,馬名,平均比標準時間
1,八仟好運,0.24
7,龍之尊,0.55
12,非凡時刻,0.63
6,烈焰光芒,0.66
4,文采風流,0.76
2,怡昌光輝,0.86
11,閃電武士,0.88
9,瑰麗人生,0.94
10,暴風一族,1.58
3,仁者荃承,1.69
8,明亮天下,11.44
