馬匹編號,馬名,平均比標準時間
2,顯勝高昇,-0.09
7,喜樂之星,-0.05
11,起舞奜奜,0.01
3,魅力寶駒,0.38
1,暴風之子,0.46
10,飛來霸,0.48
4,開心五月,0.49
8,祥勝力駒,0.57
12,後無來者,0.86
9,不勞而獲,1.22
6,火神神樂,1.22
5,平天雄,1.26
