horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
10,量子力奇,2.4,2.4,0.0,12286502.94,11861834.88,424668.06,1.3,1.3,0.0,19665186.12,18211696.04,1453490.08
1,跨境寶馬,3.9,3.9,0.0,7560924.88,7299590.69,261334.19,1.4,1.4,0.0,18260529.96,16910860.61,1349669.35
5,超寫意,6.5,6.5,0.0,4536554.93,4379754.42,156800.51,1.9,1.9,0.0,13455127.34,12460634.13,994493.21
4,寶進,10.0,10.0,0.0,2948760.71,2846840.37,101920.34,2.4,2.4,0.0,10651975.81,9864668.69,787307.12
9,帥帥友福,35.0,38.0,-0.08,842503.06,749168.52,93334.54,7.5,7.7,-0.03,3408632.26,3074701.93,333930.33
6,興馳千里,11.0,11.0,0.0,2680691.55,2588036.7,92654.85,3.7,3.6,0.03,6909389.72,6576445.79,332943.93
12,怡昌光輝,12.0,12.0,0.0,2457300.59,2372366.97,84933.62,2.7,2.9,-0.07,9468422.94,8163863.74,1304559.2
11,煌上,29.0,29.0,0.0,1016814.04,981669.09,35144.95,6.4,6.4,0.0,3994490.93,3699250.76,295240.17
8,勇冠群英,136.0,132.0,0.03,216820.64,215669.72,1150.92,28.0,28.0,0.0,913026.5,845543.03,67483.47
7,三甲之星,52.0,50.0,0.04,567069.37,569368.07,-2298.7,9.6,9.2,0.04,2662993.95,2573391.83,89602.12
3,競駿皇者,26.0,25.0,0.04,1134138.73,1138736.15,-4597.42,4.6,4.4,0.05,5557552.6,5380728.37,176824.23
