horse_no,horses,win_odds,win_amount,place_odds,place_amount
7,龍傲綾羅,2.2,1967589.0,1.2,2327199.19
5,創寶駒,5.7,759420.32,2.0,1396319.51
9,騰達勇士,7.0,618385.11,2.9,962978.97
14,全神貫注,9.1,475680.86,2.0,1396319.51
2,開心老闆,10.0,432869.58,2.9,962978.97
3,醒目先駒,13.0,332976.6,2.8,997371.08
1,光年八十,14.0,309192.56,3.3,846254.25
13,最好玩,35.0,123677.02,7.3,382553.29
6,大輝煌,48.0,90181.16,9.6,290899.9
11,瑰麗人生,76.0,56956.52,12.0,232719.92
8,開心旺財,98.0,44170.37,15.0,186175.93
10,金運齊來,109.0,39712.81,17.0,164272.88
4,駿馬之光,117.0,36997.4,19.0,146981.0
12,最感,151.0,28666.86,23.0,121419.09
