馬匹編號,馬名,平均比標準時間
8,沙井之友,-0.02
6,加州本事,0.03
3,好好戀愛,0.23
12,亞機拉,0.27
5,天外迎天,0.27
7,太子,0.32
9,勇霸龍,0.33
1,凱旋升,0.49
10,安泰,0.5
11,快搏,0.55
4,傑出漢子,0.86
2,紅逸舍,0.88
