horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,有情有義,5.3,5.3,0.0,3516612.93,3516612.93,0.0,2.2,2.2,0.0,7827120.0,7827120.0,0.0
2,傳承效應,52.0,52.0,0.0,358424.01,358424.01,0.0,11.0,11.0,0.0,1565424.0,1565424.0,0.0
3,藍爵爺,10.0,10.0,0.0,1863804.85,1863804.85,0.0,3.8,3.8,0.0,4531490.53,4531490.53,0.0
4,歷險大將,5.7,5.7,0.0,3269833.08,3269833.08,0.0,1.8,1.8,0.0,9566480.0,9566480.0,0.0
5,至臻完美,45.0,45.0,0.0,414178.86,414178.86,0.0,10.0,10.0,0.0,1721966.4,1721966.4,0.0
6,神燦金剛,44.0,44.0,0.0,423592.01,423592.01,0.0,10.0,10.0,0.0,1721966.4,1721966.4,0.0
7,千杯,13.0,13.0,0.0,1433696.04,1433696.04,0.0,4.4,4.4,0.0,3913560.0,3913560.0,0.0
8,焦點,24.0,24.0,0.0,776585.36,776585.36,0.0,5.4,5.4,0.0,3188826.67,3188826.67,0.0
9,駿馬之星,10.0,10.0,0.0,1863804.85,1863804.85,0.0,3.3,3.3,0.0,5218080.0,5218080.0,0.0
10,喆喆友福,4.7,4.7,0.0,3965542.24,3965542.24,0.0,1.8,1.8,0.0,9566480.0,9566480.0,0.0
11,輕鬆大少,4.6,4.6,0.0,4051749.68,4051749.68,0.0,1.6,1.6,0.0,10762290.0,10762290.0,0.0
12,添喜運,18.0,18.0,0.0,1035447.14,1035447.14,0.0,4.6,4.6,0.0,3743405.22,3743405.22,0.0
