horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,星月飛雲,13.0,13.0,0.0,1799956.12,1799956.12,0.0,3.9,3.9,0.0,5301882.81,5301882.81,0.0
2,安康萬里,16.0,16.0,0.0,1462464.35,1462464.35,0.0,3.9,3.9,0.0,5301882.81,5301882.81,0.0
3,傑出漢子,43.0,43.0,0.0,544172.78,544172.78,0.0,8.6,8.6,0.0,2404342.2,2404342.2,0.0
4,精彩駿將,2.5,2.5,0.0,9359771.85,9359771.85,0.0,1.4,1.4,0.0,14769530.68,14769530.68,0.0
5,星願無限,15.0,15.0,0.0,1559961.97,1559961.97,0.0,4.4,4.4,0.0,4699396.12,4699396.12,0.0
6,晶晶日上,7.8,7.8,0.0,2999926.88,2999926.88,0.0,2.6,2.6,0.0,7952824.21,7952824.21,0.0
7,電源之駒,8.1,8.1,0.0,2888818.47,2888818.47,0.0,2.6,2.6,0.0,7952824.21,7952824.21,0.0
8,椒椒醒,24.0,24.0,0.0,974976.23,974976.23,0.0,5.9,5.9,0.0,3504634.4,3504634.4,0.0
9,長勝隊長,17.0,17.0,0.0,1376437.04,1376437.04,0.0,3.9,3.9,0.0,5301882.81,5301882.81,0.0
10,泰泰精神,9.5,9.5,0.0,2463097.86,2463097.86,0.0,2.6,2.6,0.0,7952824.21,7952824.21,0.0
11,驍將,80.0,80.0,0.0,292492.87,292492.87,0.0,17.0,17.0,0.0,1216314.29,1216314.29,0.0
12,富國兄弟,7.4,7.4,0.0,3162085.08,3162085.08,0.0,2.3,2.3,0.0,8990149.11,8990149.11,0.0
