horse_no,horses,win_odds,win_amount,place_odds,place_amount
2,仁仁有餘,2.6,1156337.13,1.8,1228925.96
9,你知我得,6.0,501079.42,1.8,1228925.96
6,三強,6.6,455526.75,2.4,921694.47
7,博愛先鋒,10.0,300647.66,1.9,1164245.64
5,朗日自強,11.0,273316.05,3.1,713569.91
10,星光快驅,11.0,273316.05,3.4,650607.86
4,紅愛舍,14.0,214748.32,3.4,650607.86
11,有你有我,16.0,187904.78,4.5,491570.38
1,開心孖寶,18.0,167026.47,5.2,425397.45
3,莊家班,27.0,111350.98,6.7,330159.21
8,神異金剛,55.0,54663.21,11.0,201096.98
12,飛越晨曦,84.0,35791.39,14.0,158004.77
