horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,奮鬥心,17.0,17.0,0.0,1228260.34,1228260.34,0.0,4.4,4.4,0.0,4672196.06,4672196.06,0.0
2,超加加,22.0,22.0,0.0,949110.26,949110.26,0.0,6.1,6.1,0.0,3370108.64,3370108.64,0.0
3,精彩動力,16.0,16.0,0.0,1305026.61,1305026.61,0.0,5.0,5.0,0.0,4111532.54,4111532.54,0.0
4,加州星馳,15.0,15.0,0.0,1392028.38,1392028.38,0.0,4.2,4.2,0.0,4894681.59,4894681.59,0.0
5,有派頭,3.4,3.4,0.0,6141301.7,6141301.7,0.0,1.5,1.5,0.0,13705108.45,13705108.45,0.0
6,艾莉奧,36.0,36.0,0.0,580011.83,580011.83,0.0,8.6,8.6,0.0,2390425.89,2390425.89,0.0
7,風繼續吹,36.0,36.0,0.0,580011.83,580011.83,0.0,9.8,9.8,0.0,2097720.68,2097720.68,0.0
8,盛勢威楓,4.5,4.5,0.0,4640094.62,4640094.62,0.0,1.9,1.9,0.0,10819822.46,10819822.46,0.0
9,花開,22.0,22.0,0.0,949110.26,949110.26,0.0,4.7,4.7,0.0,4373970.78,4373970.78,0.0
10,保羅輝煌,82.0,82.0,0.0,254639.34,254639.34,0.0,19.0,19.0,0.0,1081982.25,1081982.25,0.0
11,林寶精神,5.5,5.5,0.0,3796441.05,3796441.05,0.0,1.9,1.9,0.0,10819822.46,10819822.46,0.0
12,川河型駒,9.8,9.8,0.0,2130655.69,2130655.69,0.0,2.8,2.8,0.0,7342022.38,7342022.38,0.0
13,旭能精英,234.0,234.0,0.0,89232.59,89232.59,0.0,46.0,46.0,0.0,446905.71,446905.71,0.0
14,午夜快車,13.0,13.0,0.0,1606186.6,1606186.6,0.0,4.2,4.2,0.0,4894681.59,4894681.59,0.0
