horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
13,紫荊傳令,4.7,5.5,-0.15,5924191.24,4968938.1,955253.14,1.7,1.7,0.0,14947112.69,14255185.68,691927.01
4,錶之宇宙,3.5,3.9,-0.1,7955342.53,7007476.81,947865.72,1.6,1.6,0.0,15881307.23,15146134.78,735172.45
10,仁心星,16.0,16.0,0.0,1740231.18,1708072.47,32158.71,4.7,5.1,-0.08,5406402.46,4751728.56,654673.9
8,春風萬里,6.6,6.5,0.02,4218742.25,4204486.08,14256.17,2.3,2.3,0.0,11047865.9,10536441.59,511424.31
11,遨遊武士,124.0,110.0,0.13,224545.96,248446.9,-23900.94,27.0,24.0,0.12,941114.5,1009742.32,-68627.82
9,知足常樂,145.0,119.0,0.22,192025.51,229656.8,-37631.29,34.0,30.0,0.13,747355.63,807793.85,-60438.22
7,新意馬,124.0,102.0,0.22,224545.96,267932.94,-43386.98,39.0,35.0,0.11,651540.81,692394.73,-40853.92
1,智取神駒,78.0,64.0,0.22,356970.5,427018.12,-70047.62,17.0,16.0,0.06,1494711.27,1514613.48,-19902.21
5,非惟僥倖,29.0,26.0,0.12,960127.55,1051121.52,-90993.97,7.5,6.9,0.09,3388012.21,3512147.2,-124134.99
6,君子傳承,7.8,7.4,0.05,3569704.98,3693129.67,-123424.69,2.4,2.5,-0.04,10587538.16,9693526.26,894011.9
2,桃花開,13.0,12.0,0.08,2141822.99,2277429.96,-135606.97,3.4,3.4,0.0,7473556.35,7127592.84,345963.51
14,海上大軍,15.0,13.0,0.15,1856246.59,2102243.04,-245996.45,5.0,6.0,-0.17,5082018.32,4038969.27,1043049.05
12,嘉應傳承,14.0,12.0,0.17,1988835.63,2277429.96,-288594.33,3.5,3.2,0.09,7260026.16,7573067.39,-313041.23
3,天將龍駒,11.0,9.4,0.17,2531245.35,2907357.4,-376112.05,3.2,2.9,0.1,7940653.62,8356488.16,-415834.54
