horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,爆熱,2.0,2.1,-0.05,10674929.1,9665039.61,1009889.49,1.1,1.1,0.0,17574129.0,16131573.0,1442556.0
11,謙謙君子,5.6,5.5,0.02,3812474.68,3690287.85,122186.83,1.6,1.7,-0.06,12082213.69,10438076.65,1644137.04
4,多彩多姿,10.0,10.0,0.0,2134985.82,2029658.32,105327.5,2.9,2.9,0.0,6666048.93,6118872.52,547176.41
1,飛雲,11.0,11.0,0.0,1940896.2,1845143.93,95752.27,3.7,3.6,0.03,5224741.05,4929091.75,295649.3
7,魅力星,14.0,14.0,0.0,1524989.87,1449755.94,75233.93,3.0,3.1,-0.03,6443847.3,5724106.55,719740.75
5,巴閉佬,25.0,26.0,-0.04,853994.33,780637.81,73356.52,6.1,6.0,0.02,3169105.23,2957455.05,211650.18
2,花香月明,25.0,25.0,0.0,853994.33,811863.33,42131.0,6.7,6.4,0.05,2885304.76,2772614.11,112690.65
3,超風速,9.2,8.8,0.05,2320636.76,2306429.91,14206.85,2.7,2.8,-0.04,7159830.33,6337403.68,822426.65
10,南區旺,62.0,60.0,0.03,344352.55,338276.39,6076.16,13.0,12.0,0.08,1487041.68,1478727.52,8314.16
6,鼓浪高升,158.0,156.0,0.01,135125.68,130106.3,5019.38,29.0,28.0,0.04,666604.89,633740.37,32864.52
8,城中勇士,18.0,17.0,0.06,1186103.23,1193916.66,-7813.43,4.7,4.5,0.04,4113094.02,3943273.4,169820.62
12,快馬加鞭,28.0,26.0,0.08,762494.94,780637.81,-18142.87,6.0,5.8,0.03,3221923.65,3059436.26,162487.39
