horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,小鳥天堂,3.9,3.9,0.0,851248.96,851248.96,0.0,2.0,2.0,0.0,1245163.01,1245163.01,0.0
2,數字天文,5.8,5.8,0.0,572391.54,572391.54,0.0,1.7,1.7,0.0,1464897.66,1464897.66,0.0
3,紫荊盛勢,5.6,5.6,0.0,592834.1,592834.1,0.0,2.7,2.7,0.0,922342.97,922342.97,0.0
4,睿盛人生,19.0,19.0,0.0,174730.05,174730.05,0.0,5.7,5.7,0.0,436899.3,436899.3,0.0
5,白鷺金剛,6.5,6.5,0.0,510749.38,510749.38,0.0,2.1,2.1,0.0,1185869.54,1185869.54,0.0
6,錶之宇宙,13.0,13.0,0.0,255374.69,255374.69,0.0,3.8,3.8,0.0,655348.95,655348.95,0.0
7,美麗星晨,24.0,24.0,0.0,138327.96,138327.96,0.0,6.9,6.9,0.0,360916.82,360916.82,0.0
8,會當凌,12.0,12.0,0.0,276655.91,276655.91,0.0,3.8,3.8,0.0,655348.95,655348.95,0.0
9,喜尊龍,20.0,20.0,0.0,165993.55,165993.55,0.0,4.3,4.3,0.0,579145.59,579145.59,0.0
10,至尊瑰寶,45.0,45.0,0.0,73774.91,73774.91,0.0,9.3,9.3,0.0,267776.99,267776.99,0.0
11,至尊高超,35.0,35.0,0.0,94853.46,94853.46,0.0,8.0,8.0,0.0,311290.75,311290.75,0.0
12,一定超,34.0,34.0,0.0,97643.26,97643.26,0.0,8.1,8.1,0.0,307447.66,307447.66,0.0
13,紫荊傳令,19.0,19.0,0.0,174730.05,174730.05,0.0,5.1,5.1,0.0,488299.22,488299.22,0.0
14,幸運派彩,40.0,40.0,0.0,82996.77,82996.77,0.0,7.3,7.3,0.0,341140.55,341140.55,0.0
