horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,友瑩亮,2.5,2.5,0.0,7626780.81,6832196.91,794583.9,1.2,1.2,0.0,13869783.12,12993287.31,876495.81
2,綠野飛馳,4.4,4.4,0.0,4333398.19,3881930.06,451468.13,1.6,1.6,0.0,10402337.34,9744965.48,657371.86
5,活力拍檔,4.5,4.5,0.0,4237100.45,3795664.95,441435.5,1.6,1.6,0.0,10402337.34,9744965.48,657371.86
12,都靈冠星,7.0,7.0,0.0,2723850.29,2440070.32,283779.97,2.0,2.0,0.0,8321869.88,7795972.39,525897.49
6,閃光燈,15.0,15.0,0.0,1271130.13,1138699.48,132430.65,2.8,2.8,0.0,5944192.77,5568551.71,375641.06
4,亞機拉,22.0,22.0,0.0,866679.64,776386.01,90293.63,4.8,4.8,0.0,3467445.78,3248321.83,219123.95
7,高高至高,26.0,26.0,0.0,733344.31,656942.01,76402.3,6.0,6.0,0.0,2773956.62,2598657.46,175299.16
1,魅力奔騰,32.0,32.0,0.0,595842.25,533765.38,62076.87,9.3,9.3,0.0,1789649.44,1676553.2,113096.24
10,精巧時計,51.0,51.0,0.0,373861.8,334911.61,38950.19,13.0,13.0,0.0,1280287.67,1199380.37,80907.3
3,勇冠群英,55.0,55.0,0.0,346671.85,310554.4,36117.45,10.0,10.0,0.0,1664373.98,1559194.48,105179.5
8,和光同塵,98.0,98.0,0.0,194560.73,174290.74,20269.99,21.0,21.0,0.0,792559.04,742473.56,50085.48
11,精彩動力,148.0,148.0,0.0,128830.76,115408.73,13422.03,25.0,25.0,0.0,665749.59,623677.79,42071.8
