horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,櫻花酒杯,2.1,2.2,-0.05,7165323.79,6346718.62,818605.17,1.1,1.2,-0.08,10866915.0,8851132.81,2015782.19
9,賢者威楓,3.4,3.3,0.03,4425641.16,4231145.75,194495.41,1.4,1.3,0.08,8538290.36,8170276.44,368013.92
6,超和平,19.0,22.0,-0.14,791956.84,634671.86,157284.98,5.7,5.5,0.04,2097123.95,1931156.25,165967.7
2,辣得準,6.9,6.9,0.0,2180750.72,2023591.45,157159.27,1.8,1.8,0.0,6640892.5,5900755.21,740137.29
11,喜樂之星,79.0,88.0,-0.1,190470.63,158667.97,31802.66,15.0,15.0,0.0,796907.1,708090.62,88816.48
10,嘉冠王,47.0,47.0,0.0,320152.76,297080.45,23072.31,7.9,7.7,0.03,1513114.75,1379397.32,133717.43
7,日日賞,21.0,20.0,0.05,716532.38,698139.05,18393.33,4.3,4.1,0.05,2779908.49,2590575.46,189333.03
3,展雄威,19.0,18.0,0.06,791956.84,775710.05,16246.79,4.1,3.9,0.05,2915513.78,2723425.48,192088.3
14,同有運,32.0,30.0,0.07,470224.37,465426.03,4798.34,5.2,5.3,-0.02,2298770.48,2004030.07,294740.41
8,領袖勁力,154.0,148.0,0.04,97708.96,94343.11,3365.85,29.0,27.0,0.07,412193.33,393383.68,18809.65
12,駿美一生,80.0,75.0,0.07,188089.75,186170.41,1919.34,12.0,12.0,0.0,996133.87,885113.28,111020.59
4,駿馬之光,141.0,129.0,0.09,106717.59,108238.61,-1521.02,22.0,20.0,0.1,543345.75,531067.97,12277.78
5,君子,86.0,79.0,0.09,174967.21,176744.06,-1776.85,14.0,13.0,0.08,853829.04,817027.64,36801.4
13,雷神太保,19.0,17.0,0.12,791956.84,821340.06,-29383.22,3.8,3.8,0.0,3145685.92,2795094.57,350591.35
