horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
10,晒冷,3.1,3.8,-0.18,194697.6,62665.26,132032.34,1.6,1.7,-0.06,249798.66,101899.63,147899.03
13,時時歡聲,4.8,5.1,-0.06,125742.2,46691.76,79050.44,2.5,2.1,0.19,159871.14,82490.18,77380.96
12,韋金主,8.2,6.9,0.19,73605.19,34511.3,39093.89,2.5,2.0,0.25,159871.14,86614.69,73256.45
8,飛鷹翱翔,11.0,11.0,0.0,54869.32,21648.0,33221.32,3.9,4.8,-0.19,102481.5,36089.45,66392.05
6,勁速威龍,13.0,13.0,0.0,46427.89,18317.54,28110.35,3.1,4.0,-0.22,128928.34,43307.34,85621.0
14,綫路滿貫,14.0,12.0,0.17,43111.61,19844.0,23267.61,3.3,3.5,-0.06,121114.5,49494.11,71620.39
2,球星,18.0,19.0,-0.05,33531.25,12533.05,20998.2,4.9,7.0,-0.3,81566.91,24747.05,56819.86
9,綠族無限,18.0,17.0,0.06,33531.25,14007.53,19523.72,4.7,4.3,0.09,85037.84,40285.9,44751.94
11,遙遙領先,17.0,14.0,0.21,35503.68,17009.14,18494.54,4.4,4.7,-0.06,90835.87,36857.31,53978.56
1,光年魅力,20.0,16.0,0.25,30178.13,14883.0,15295.13,5.0,5.0,0.0,79935.57,34645.88,45289.69
5,智取神駒,34.0,34.0,0.0,17751.84,7003.76,10748.08,6.9,7.3,-0.05,57924.33,23730.05,34194.28
4,喜蓮勇感,32.0,28.0,0.14,18861.33,8504.57,10356.76,6.6,6.8,-0.03,60557.25,25474.91,35082.34
3,風雲武士,33.0,28.0,0.18,18289.77,8504.57,9785.2,8.1,8.2,-0.01,49342.94,21125.53,28217.41
7,華麗再勝,33.0,26.0,0.27,18289.77,9158.77,9131.0,7.9,6.8,0.16,50592.13,25474.91,25117.22
