horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,廚神,37.0,37.0,0.0,79054.11,79054.11,0.0,8.1,8.1,0.0,259884.98,259884.98,0.0
2,金創福威,9.2,9.2,0.0,317935.0,317935.0,0.0,3.0,3.0,0.0,701689.45,701689.45,0.0
3,手機錶勁,5.2,5.2,0.0,562500.39,562500.39,0.0,2.2,2.2,0.0,956849.25,956849.25,0.0
4,八仟好運,6.5,6.5,0.0,450000.31,450000.31,0.0,2.8,2.8,0.0,751810.12,751810.12,0.0
5,逍遙人生,4.4,4.4,0.0,664773.19,664773.19,0.0,1.8,1.8,0.0,1169482.42,1169482.42,0.0
6,鼓浪好友,7.8,7.8,0.0,375000.26,375000.26,0.0,2.4,2.4,0.0,877111.81,877111.81,0.0
7,遨遊波士,15.0,15.0,0.0,195000.13,195000.13,0.0,4.0,4.0,0.0,526267.09,526267.09,0.0
8,北極之錶,22.0,22.0,0.0,132954.64,132954.64,0.0,6.3,6.3,0.0,334137.83,334137.83,0.0
9,傳承精神,18.0,18.0,0.0,162500.11,162500.11,0.0,4.5,4.5,0.0,467792.97,467792.97,0.0
10,萬里鵬躍,42.0,42.0,0.0,69642.91,69642.91,0.0,10.0,10.0,0.0,210506.84,210506.84,0.0
11,好精神,12.0,12.0,0.0,243750.17,243750.17,0.0,4.3,4.3,0.0,489550.78,489550.78,0.0
12,皮具伯樂,117.0,117.0,0.0,25000.02,25000.02,0.0,20.0,20.0,0.0,105253.42,105253.42,0.0
13,風采人生,14.0,14.0,0.0,208928.72,208928.72,0.0,3.9,3.9,0.0,539761.12,539761.12,0.0
14,行運加持,31.0,31.0,0.0,94354.9,94354.9,0.0,6.0,6.0,0.0,350844.72,350844.72,0.0
