horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,話你知,13.0,13.0,0.0,137581.0,137581.0,0.0,4.2,4.2,0.0,280742.98,280742.98,0.0
2,風將,36.0,36.0,0.0,49682.03,49682.03,0.0,7.1,7.1,0.0,166073.31,166073.31,0.0
3,奔放,10.0,10.0,0.0,178855.3,178855.3,0.0,3.7,3.7,0.0,318681.22,318681.22,0.0
4,友瑩光,6.7,6.7,0.0,266948.21,266948.21,0.0,2.8,2.8,0.0,421114.47,421114.47,0.0
5,發財先鋒,15.0,15.0,0.0,119236.86,119236.86,0.0,3.7,3.7,0.0,318681.22,318681.22,0.0
6,榮駿大道,4.4,4.4,0.0,406489.31,406489.31,0.0,1.9,1.9,0.0,620589.75,620589.75,0.0
7,火悟空,12.0,12.0,0.0,149046.08,149046.08,0.0,3.8,3.8,0.0,310294.88,310294.88,0.0
8,豐辰,8.7,8.7,0.0,205580.8,205580.8,0.0,2.2,2.2,0.0,535963.87,535963.87,0.0
9,星價,69.0,69.0,0.0,25921.06,25921.06,0.0,13.0,13.0,0.0,90701.58,90701.58,0.0
10,包裝戰仕,7.9,7.9,0.0,226399.11,226399.11,0.0,3.0,3.0,0.0,393040.17,393040.17,0.0
11,安可,6.1,6.1,0.0,293205.41,293205.41,0.0,2.4,2.4,0.0,491300.22,491300.22,0.0
12,劍飛聲,35.0,35.0,0.0,51101.51,51101.51,0.0,6.7,6.7,0.0,175988.14,175988.14,0.0
13,紫荊拼搏,20.0,20.0,0.0,89427.65,89427.65,0.0,5.9,5.9,0.0,199850.94,199850.94,0.0
