horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,機械之星,2.7,2.9,-0.07,1396767.78,496430.09,900337.69,1.4,1.3,0.08,2074925.09,837984.23,1236940.86
8,睿智多寶,6.5,8.2,-0.21,580195.85,175566.74,404629.11,2.0,2.3,-0.13,1452447.56,473643.26,978804.3
3,哥倫布,5.7,5.2,0.1,661626.84,276855.25,384771.59,2.2,2.2,0.0,1320406.87,495172.5,825234.37
6,勤德天下,8.8,8.5,0.04,428553.75,169370.27,259183.48,2.6,2.7,-0.04,1117267.36,403473.89,713793.47
4,定數,11.0,11.0,0.0,342843.0,130877.02,211965.98,3.7,3.8,-0.03,785106.79,286678.82,498427.97
13,江南勇士,13.0,13.0,0.0,290097.92,110742.1,179355.82,3.7,3.5,0.06,785106.79,311251.29,473855.5
5,本領輝煌,15.0,14.0,0.07,251418.2,102831.95,148586.25,4.2,4.7,-0.11,691641.7,231782.87,459858.83
14,鑽得勝,22.0,21.0,0.05,171421.5,68554.63,102866.87,5.1,5.4,-0.06,569587.28,201736.94,367850.34
2,鬥志波,28.0,26.0,0.08,134688.32,55371.05,79317.27,7.3,7.3,0.0,397930.84,149230.07,248700.77
12,堅闖,29.0,24.0,0.21,130043.9,59985.3,70058.6,7.0,5.5,0.27,414985.02,198069.0,216916.02
10,綫路福將,34.0,33.0,0.03,110919.79,43625.67,67294.12,7.1,6.8,0.04,409140.16,160202.87,248937.29
9,萬事勝利,72.0,56.0,0.29,52378.79,25707.99,26670.8,14.0,12.0,0.17,207492.51,90781.62,116710.89
7,鴻圖大展,80.0,64.0,0.25,47140.91,22494.49,24646.42,14.0,12.0,0.17,207492.51,90781.62,116710.89
11,幸運勝利,82.0,67.0,0.22,45991.13,21487.27,24503.86,15.0,12.0,0.25,193659.67,90781.62,102878.05
