horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,巴基之勝,14.0,14.0,0.0,120903.99,120903.99,0.0,2.8,2.8,0.0,339389.68,339389.68,0.0
2,米奇,8.1,8.1,0.0,208969.85,208969.85,0.0,2.4,2.4,0.0,395954.62,395954.62,0.0
3,冷娃,4.4,4.4,0.0,384694.5,384694.5,0.0,1.4,1.4,0.0,678779.36,678779.36,0.0
4,喜慶寶,1.7,1.7,0.0,995679.88,995679.88,0.0,1.2,1.2,0.0,791909.25,791909.25,0.0
5,久久為昇,11.0,11.0,0.0,153877.8,153877.8,0.0,2.5,2.5,0.0,380116.44,380116.44,0.0
6,星願無限,37.0,37.0,0.0,45747.45,45747.45,0.0,5.4,5.4,0.0,175979.83,175979.83,0.0
7,手到齊來,34.0,34.0,0.0,49783.99,49783.99,0.0,5.4,5.4,0.0,175979.83,175979.83,0.0
8,晉步贏,41.0,41.0,0.0,41284.29,41284.29,0.0,6.9,6.9,0.0,137723.35,137723.35,0.0
9,驍將,55.0,55.0,0.0,30775.56,30775.56,0.0,6.8,6.8,0.0,139748.69,139748.69,0.0
10,馬馳登,26.0,26.0,0.0,65102.15,65102.15,0.0,4.0,4.0,0.0,237572.77,237572.77,0.0
