horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
12,超開心,5.4,5.8,-0.07,265859.0,105287.78,160571.22,2.5,2.5,0.0,422529.36,176839.08,245690.28
1,友瑩仁,6.0,5.7,0.05,239273.1,107134.93,132138.17,2.3,2.3,0.0,459271.04,192216.39,267054.65
7,創寶駒,7.3,9.2,-0.21,196662.82,66377.08,130285.74,2.4,3.4,-0.29,440134.75,130028.74,310106.01
3,錶之浩瀚,9.9,12.0,-0.17,145014.0,50889.09,94124.91,3.5,4.3,-0.19,301806.69,102813.42,198993.27
11,旌採,7.9,6.5,0.22,181726.41,93949.1,87777.31,2.5,2.0,0.25,422529.36,221048.85,201480.51
2,榮利雙收,11.0,12.0,-0.08,130512.6,50889.09,79623.51,3.7,3.4,0.09,285492.81,130028.74,155464.07
14,超拍檔,13.0,16.0,-0.19,110433.74,38166.82,72266.92,4.1,4.8,-0.15,257639.85,92103.69,165536.16
5,光年八十,12.0,10.0,0.2,119636.55,61066.91,58569.64,3.3,3.2,0.03,320098.0,138155.53,181942.47
4,進傲星,14.0,13.0,0.08,102545.61,46974.55,55571.06,3.9,3.7,0.05,270852.15,119485.86,151366.29
13,非凡時刻,14.0,13.0,0.08,102545.61,46974.55,55571.06,4.4,4.7,-0.06,240073.5,94063.34,146010.16
6,久久為軍,17.0,14.0,0.21,84449.33,43619.22,40830.11,5.7,4.7,0.21,185319.89,94063.34,91256.55
9,帝豪先鋒,40.0,40.0,0.0,35890.97,15266.73,20624.24,9.9,10.0,-0.01,106699.33,44209.77,62489.56
10,華麗再贏,34.0,27.0,0.26,42224.66,22617.37,19607.29,8.9,7.7,0.16,118688.02,57415.29,61272.73
8,金津寶駒,88.0,84.0,0.05,16314.07,7269.87,9044.2,17.0,15.0,0.13,62136.67,29473.18,32663.49
