日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-09,ST,grass,好,1400,408,05,一生好彩,1,6,8,59.67,60.39,1.79,22.4,-1.0,82.79,0.79,10,威武年代,八仟財陞,醒目先駒,霍宏聲,周俊樂 (-2),4,129,134
2025-02-23,ST,grass,好,1400,449,04,一生好彩,1,6,12,58.92,59.72,1.12,22.94,-0.46,82.66,0.66,14,首飾天空,南區之星,哈羅威,霍宏聲,周俊樂 (-2),4,127,134
2025-03-09,ST,grass,好/快,1600,488,05,一生好彩,1,6,10,70.77,71.21,0.11,23.67,-0.13,94.88,-0.02,8,昭易搵,凱旋幸運,聚風雲,霍宏聲,周俊樂 (-2),4,126,134
2025-03-23,ST,grass,好/快,1400,526,07,一生好彩,1,6,6,57.91,58.15,-0.45,23.69,0.29,81.84,-0.16,6,深心星,哈羅威,泰泰精神,霍宏聲,周俊樂 (-2),4,124,134
2025-04-16,HV,grass,好/快,1650,594,05,一生好彩,1,6,2,75.57,76.01,0.16,24.06,-0.19,100.07,-0.03,6,飈誌,馬主雄風,翠兒威威,霍宏聲,周俊樂 (-2),4,122,134
2025-06-28,ST,grass,好,1400,795,02,一生好彩,1,6,14,57.95,58.15,-0.45,23.78,0.38,81.93,-0.07,9,同心同樂,一生好彩,糖不甩,蔡明紹,周俊樂 (-2),4,120,134
2025-07-16,HV,grass,好/快,1200,841,03,一生好彩,1,6,5,45.63,45.75,-1.45,23.72,1.02,69.47,-0.43,3,星火燎原,星辰千帥,一生好彩,蔡明紹,周俊樂 (-2),4,121,134
2025-09-10,HV,grass,好,1200,017,03,一生好彩,1,6,7,46.97,47.53,0.33,22.76,0.06,70.29,0.39,9,天外迎天,東來欣賞,一生好彩,艾兆禮,周俊樂 (-2),4,120,134
2025-09-28,ST,grass,好/快,1400,050,01,一生好彩,1,6,14,57.74,59.06,0.46,22.65,-0.75,81.71,-0.29,9,一生好彩,火悟空,豐辰,周俊樂,周俊樂 (-2),4,119,134
2025-10-19,ST,grass,好/快,1400,108,01,一生好彩,1,6,12,57.66,58.38,-0.22,22.77,-0.63,81.15,-0.85,9,一生好彩,榮利雙收,火悟空,周俊樂,周俊樂 (-2),4,126,134
2025-11-09,ST,grass,好,1400,168,06,一生好彩,1,6,9,59.87,60.63,2.13,22.74,-0.41,83.37,1.72,12,富國兄弟,鑽石星空,小鳥天堂,艾兆禮,周俊樂 (-2),3,116,134
2025-12-07,ST,grass,好,1400,244,07,一生好彩,1,6,14,58.5,59.46,0.96,22.97,-0.18,82.43,0.78,14,小鳥天堂,喜尊龍,準輝煌,潘明輝,周俊樂 (-2),3,116,134
2026-01-11,ST,grass,好/快,1400,344,01,一生好彩,1,6,10,59.79,59.91,1.41,22.42,-0.73,82.33,0.68,7,一生好彩,凌登,火悟空,潘明輝,周俊樂 (-2),3,116,134
2026-02-01,ST,grass,好,1600,403,01,一生好彩,1,6,10,70.62,71.46,0.56,22.36,-1.44,93.82,-0.88,11,一生好彩,紫荊傳令,天然數字,周俊樂,周俊樂 (-2),3,120,134
2026-02-14,ST,grass,好/快,1600,443,04,一生好彩,1,6,3,71.44,71.96,1.06,22.82,-0.98,94.78,0.08,6,紫荊盛勢,凌登,安都,奧爾民,周俊樂 (-2),3,133,134
2026-03-29,ST,grass,好/快,1400,561,04,一生好彩,1,6,3,58.25,59.05,0.55,22.61,-0.54,81.66,0.01,7,極上紗瓏,開心三寶,新力好,周俊樂,周俊樂 (-2),3,131,134
