馬匹編號,馬名,完成時間
11,君智盛,108.63
12,竣誠駒,108.74
1,盈益善,108.84
4,凝妙星,108.85
5,蜜蜜送,109.42
8,獎星,109.95
7,一支箭,110.04
10,寶成智星,110.07
