馬匹編號,馬名,平均比標準時間
3,凝聚美麗,-0.04
11,萬眾開心,0.23
4,天火同人,0.28
7,可靠大師,0.3
5,大番薯,0.34
12,亮寶,0.36
9,友得盈,0.38
1,勝萬金,0.49
10,英雄豪邁,0.58
6,交學費,0.62
8,好多利高,0.79
2,團長好,0.8
