馬匹編號,馬名,平均比標準時間
5,彩虹七色,0.26
11,猛將兄,0.29
12,過關勇士,0.4
9,風火猴王,0.51
4,良駒好友,0.6
6,富心星,0.65
2,新力飆,0.8
1,勝多多,0.81
10,多多開心,0.83
8,弘智多寶,2.41
