馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,551,30/03/2025,03,順成之星,3,7,10,46.11,46.91,46.91,22.81,-46.19,69.72,0.72,10 9 3,風再起時,跨境寶馬,順成之星,班德禮,梁家俊,3,122,131
ST,grass,好,1200,625,27/04/2025,08,順成之星,3,7,1,45.75,46.63,46.63,22.96,-46.04,69.59,0.59,7 7 8,真心傳奇,龍之輝,非凡達,班德禮,梁家俊,3,123,131
ST,grass,好/快,1200,686,18/05/2025,09,順成之星,3,7,5,46.13,47.01,47.01,22.79,-46.21,69.8,0.8,10 11 9,營造組裝,英勇快車,熾烈神駒,梁家俊,梁家俊,3,124,131
ST,grass,好,1400,766,14/06/2025,13,順成之星,3,7,5,58.69,59.81,-8.39,23.28,9.83,83.09,1.44,7 8 10 13,錶之星河,樂勝天下,勇冠群英,班德禮,梁家俊,3,118,131
ST,grass,好/快,1200,816,05/07/2025,08,順成之星,3,7,8,45.75,46.87,46.87,22.8,-46.2,69.67,0.67,10 10 8,時時歡欣,正氣青驅,天星,潘明輝,梁家俊,3,116,131
ST,grass,好/快,1400,071,04/10/2025,14,順成之星,3,7,2,57.86,58.34,-10.21,24.84,11.39,83.18,1.18,5 5 6 14,準輝煌,凱旋幸運,天天更好,梁家俊,梁家俊,4,135,131
ST,grass,好,1200,256,14/12/2025,14,順成之星,3,7,1,47.58,48.02,48.02,23.39,-45.96,71.41,2.06,6 9 14,冷娃,幸運愉快,包裝戰將,馬昆,梁家俊,4,131,131
HV,grass,好,1200,328,07/01/2026,10,順成之星,3,7,9,47.32,48.04,48.04,23.4,-46.5,71.44,1.54,12 11 10,良駒好友,巴閉哥,祥勝力駒,金誠剛,梁家俊,4,131,131
