horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
13,天天更好,4.9,4.9,0.0,4290479.34,4284000.4,6478.94,2.0,2.0,0.0,10360312.46,10345780.5,14531.96
9,烈焰光芒,5.1,5.1,0.0,4122225.25,4116000.38,6224.87,2.0,2.0,0.0,10360312.46,10345780.5,14531.96
11,豐功偉績,5.6,5.6,0.0,3754169.42,3748500.35,5669.07,1.9,1.9,0.0,10905592.07,10890295.26,15296.81
6,你知我寶,7.5,7.5,0.0,2803113.17,2798880.26,4232.91,2.9,2.9,0.0,7145043.08,7135021.03,10022.05
8,大千赤風,8.6,8.6,0.0,2444575.44,2440883.95,3691.49,3.1,3.1,0.0,6684072.56,6674697.1,9375.46
10,銳目,9.5,9.5,0.0,2212984.08,2209642.31,3341.77,2.5,2.5,0.0,8288249.97,8276624.4,11625.57
4,奇異歡星,10.0,10.0,0.0,2102334.88,2099160.2,3174.68,2.8,2.8,0.0,7400223.19,7389843.21,10379.98
7,皇者威楓,13.0,13.0,0.0,1617180.67,1614738.61,2442.06,4.6,4.6,0.0,4504483.68,4498165.43,6318.25
1,笑盈喜,21.0,21.0,0.0,1001111.85,999600.09,1511.76,5.2,5.2,0.0,3984735.56,3979146.35,5589.21
14,花香月明,37.0,37.0,0.0,568198.62,567340.59,858.03,7.4,7.4,0.0,2800084.45,2796156.89,3927.56
5,悠然常勝,60.0,60.0,0.0,350389.15,349860.03,529.12,15.0,15.0,0.0,1381374.99,1379437.4,1937.59
3,巴閉哥,65.0,65.0,0.0,323436.14,322947.72,488.42,16.0,16.0,0.0,1295039.06,1293222.56,1816.5
12,超智多寶,236.0,236.0,0.0,89081.99,88947.47,134.52,48.0,48.0,0.0,431679.69,431074.19,605.5
2,君子,258.0,258.0,0.0,81485.85,81362.8,123.05,54.0,54.0,0.0,383715.28,383177.06,538.22
