馬匹編號,馬名,平均比標準時間
1,凡凡有餘,-0.46
10,時間寶,-0.23
4,先到先得,-0.21
5,追風,0.07
11,爆竹,0.2
12,手到再來,0.21
7,紅磚戰士,0.34
8,翠湖烈風,0.34
6,極速滿貫,0.38
3,紫荊戰士,0.92
2,鬆啲,0.94
9,至高心得,1.09
