馬匹編號,馬名,平均比標準時間
1,銀進,-0.27
2,瑪瑙,-0.19
8,穿甲金鷹,-0.08
7,電訊巴打,-0.02
3,膨才,0.02
11,榮利雙收,0.04
5,好實力,0.14
10,佳登,0.16
9,浪漫鬥士,0.29
4,同心同樂,0.32
6,我做到,0.42
