馬匹編號,馬名,平均比標準時間
5,銀亮濠俠,-0.12
4,辣得金,0.2
6,喆喆友福,0.24
9,東方魅影,0.26
8,太行美景,0.4
3,幸運傳承,0.43
10,發光發亮,0.46
1,鄉村樂韻,0.48
11,威德勇士,0.64
2,運來勇士,1.28
7,東昇鉞,1.8
12,東方福寶,2.22
