horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
4,哪吒,-0.22,16.0,19.0,-0.16,87190.38,10728.0,76462.38,3.9,5.5,-0.29,231590.4,25522.2,206068.2
1,奔放,-0.21,5.3,5.8,-0.09,263216.25,35143.44,228072.81,2.1,3.2,-0.34,430096.46,43866.28,386230.18
5,友贏威馳,-0.1,5.5,5.7,-0.04,253644.75,35759.99,217884.76,2.0,2.4,-0.17,451601.29,58488.38,393112.91
8,豐辰,-0.08,16.0,17.0,-0.06,87190.38,11990.11,75200.27,4.2,4.7,-0.11,215048.23,29866.4,185181.83
9,紫辰之星,0.02,8.6,9.4,-0.09,162214.67,21684.25,140530.42,2.8,2.5,0.12,322572.35,56148.84,266423.51
11,祥勝將軍,0.06,4.1,3.8,0.08,340255.15,53639.98,286615.17,2.1,2.0,0.05,430096.46,70186.05,359910.41
6,勁大威猛,0.06,25.0,22.0,0.14,55801.85,9265.09,46536.76,6.5,6.6,-0.02,138954.24,21268.5,117685.74
12,包裝戰仕,0.08,16.0,13.0,0.23,87190.38,15679.38,71511.0,4.0,4.3,-0.07,225800.64,32644.67,193155.97
3,中國心,0.15,5.5,5.9,-0.07,253644.75,34547.78,219096.97,1.5,1.1,0.36,602135.05,127611.0,474524.05
2,智勇名駒,0.15,17.0,14.0,0.21,82061.54,14559.42,67502.12,4.8,4.4,0.09,188167.2,31902.75,156264.45
10,妙算強人,0.27,87.0,66.0,0.32,16035.01,3088.36,12946.65,16.0,13.0,0.23,56450.16,10797.85,45652.31
7,星價,0.31,62.0,43.0,0.44,22500.74,4740.28,17760.46,13.0,11.0,0.18,69477.12,12761.1,56716.02
