horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
3,幸運愉快,-0.31,11.0,16.0,-0.31,229448.02,21676.46,207771.56,2.8,4.0,-0.3,557921.57,58932.43,498989.14
4,良駒好友,-0.11,7.4,7.7,-0.04,341071.39,45042.0,296029.39,2.2,2.7,-0.19,710082.0,87307.31,622774.69
9,驕陽雄心,-0.08,5.0,5.3,-0.06,504785.66,65438.38,439347.28,1.7,1.9,-0.11,918929.65,124068.28,794861.37
6,銳目,-0.03,2.4,2.8,-0.14,1051636.78,123865.5,927771.28,1.4,1.3,0.08,1115843.14,181330.56,934512.58
1,競駿非凡,-0.02,7.7,7.1,0.08,327782.89,48848.37,278934.52,2.3,2.6,-0.12,679208.87,90665.28,588543.59
2,團長好,0.11,20.0,16.0,0.25,126196.41,21676.46,104519.95,5.5,5.7,-0.04,284032.8,41356.09,242676.71
11,洛河,0.14,29.0,23.0,0.26,87032.01,15079.28,71952.73,6.2,6.1,0.02,251964.58,38644.22,213320.36
8,頑童,0.25,40.0,28.0,0.43,63098.21,12386.55,50711.66,7.2,6.7,0.07,216969.5,35183.54,181785.96
10,眼健康,0.35,17.0,12.0,0.42,148466.37,28901.95,119564.42,5.1,4.0,0.27,306309.88,58932.43,247377.45
7,勤德皆備,0.37,22.0,18.0,0.22,114724.01,19267.97,95456.04,4.7,3.1,0.52,332378.81,76041.85,256336.96
5,平天雄,0.43,63.0,40.0,0.57,40062.35,8670.59,31391.76,12.0,9.3,0.29,130181.7,25347.28,104834.42
12,美周郎,0.58,43.0,26.0,0.65,58696.01,13339.36,45356.65,8.4,5.6,0.5,185973.86,42094.59,143879.27
