horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
8,福進,-0.16,4.5,5.2,-0.13,430375.55,54320.06,376055.49,1.7,2.1,-0.19,645857.07,79539.82,566317.25
10,星將,-0.14,39.0,42.0,-0.07,49658.72,6725.34,42933.38,6.8,8.7,-0.22,161464.27,19199.27,142265.0
5,瑤瑤日上,-0.09,19.0,18.0,0.06,101931.05,15692.46,86238.59,3.2,4.2,-0.24,343111.57,39769.91,303341.66
3,皇者有利,-0.08,11.0,11.0,0.0,176062.73,25678.58,150384.15,3.1,3.7,-0.16,354179.69,45144.22,309035.47
2,電子好好,-0.07,51.0,45.0,0.13,37974.31,6276.98,31697.33,7.3,10.0,-0.27,150405.07,16703.36,133701.71
11,萬眾開心,-0.05,15.0,15.0,0.0,129112.66,18830.95,110281.71,3.3,3.7,-0.11,332714.25,45144.22,287570.03
4,美麗登場,-0.04,2.3,2.7,-0.15,842039.12,104616.42,737422.7,1.5,1.4,0.07,731971.35,119309.73,612661.62
12,妙玲瓏,0.05,34.0,33.0,0.03,56961.47,8559.52,48401.95,6.7,6.3,0.06,163874.18,26513.27,137360.91
7,天火同人,0.11,22.0,18.0,0.22,88031.36,15692.46,72338.9,4.5,4.5,0.0,243990.45,37118.58,206871.87
1,添開心,0.23,10.0,8.8,0.14,193669.0,32098.22,161570.78,2.5,1.9,0.32,439182.81,87912.43,351270.38
6,鴻圖新星,0.27,8.4,6.1,0.38,230558.33,46305.63,184252.7,2.9,2.5,0.16,378605.87,66813.45,311792.42
9,尚旋,0.93,59.0,27.0,1.19,32825.25,10461.64,22363.61,10.0,6.0,0.67,109795.7,27838.94,81956.76
