horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,志滿同行,-0.3,4.6,6.2,-0.26,209264.3,20607.97,188656.33,1.8,2.7,-0.33,326905.79,32279.5,294626.29
6,粵港資駒,-0.21,8.2,9.0,-0.09,117392.17,14196.6,103195.57,2.5,3.7,-0.32,235372.17,23555.31,211816.86
3,好好戀愛,-0.2,4.1,4.6,-0.11,234784.34,27775.96,207008.38,2.0,2.8,-0.29,294215.21,31126.66,263088.55
7,金牌活力,-0.15,24.0,25.0,-0.04,40108.99,5110.78,34998.21,5.1,6.9,-0.26,115378.51,12631.11,102747.4
12,包裝明將,-0.1,4.8,5.3,-0.09,200544.95,24107.43,176437.52,1.8,2.0,-0.1,326905.79,43577.32,283328.47
9,快活英雄,0.1,14.0,11.0,0.27,68758.27,11615.4,57142.87,3.7,4.0,-0.07,159035.25,21788.66,137246.59
2,真心傳奇,0.11,15.0,13.0,0.15,64174.38,9828.42,54345.96,4.9,4.6,0.07,120087.84,18946.66,101141.18
8,多威心得,0.17,50.0,44.0,0.14,19252.32,2903.85,16348.47,11.0,9.2,0.2,53493.67,9473.33,44020.34
11,御登,0.25,19.0,14.0,0.36,50663.99,9126.39,41537.6,6.4,5.6,0.14,91942.25,15563.33,76378.92
5,非凡豪傑,0.31,39.0,26.0,0.5,24682.46,4914.21,19768.25,8.5,7.6,0.12,69227.11,11467.72,57759.39
4,好節拍,0.45,12.0,11.0,0.09,80217.98,11615.4,68602.58,2.9,1.6,0.81,202907.04,54471.66,148435.38
10,撼天鐵翼,0.75,13.0,8.1,0.6,74047.37,15774.0,58273.37,3.6,1.9,0.89,163452.9,45870.87,117582.03
