horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
12,過關勇士,-0.24,4.4,5.9,-0.25,494246.44,55307.86,438938.58,1.8,2.3,-0.22,817617.17,98567.05,719050.12
11,雷神太保,-0.11,4.0,4.3,-0.07,543671.08,75887.53,467783.55,1.8,2.1,-0.14,817617.17,107954.39,709662.78
8,小魔怪,-0.09,8.2,8.4,-0.02,265205.41,38847.19,226358.22,2.6,3.1,-0.16,566042.65,73130.4,492912.25
4,紅錢到,0.01,12.0,12.0,0.0,181223.69,27193.03,154030.66,3.7,3.6,0.03,397759.7,62973.4,334786.3
3,勝多多,0.01,35.0,34.0,0.03,62133.84,9597.54,52536.3,7.9,8.0,-0.01,186292.52,28338.03,157954.49
7,銀刺勇士,0.02,11.0,11.0,0.0,197698.57,29665.12,168033.45,4.5,4.3,0.05,327046.87,52721.91,274324.96
2,戀愛狂,0.07,24.0,25.0,-0.04,90611.85,13052.66,77559.19,7.1,6.0,0.18,207283.23,37784.04,169499.19
6,中環精英,0.11,16.0,14.0,0.14,135917.77,23308.31,112609.46,4.0,3.7,0.08,367927.72,61271.41,306656.31
9,天下寵兒,0.16,8.4,7.3,0.15,258890.99,44700.87,214190.12,2.7,2.3,0.17,545078.11,98567.05,446511.06
1,伶俐驫駒,0.16,10.0,8.1,0.23,217468.43,40285.97,177182.46,2.5,2.3,0.09,588684.36,98567.05,490117.31
5,天外富天,0.23,16.0,13.0,0.23,135917.77,25101.26,110816.51,4.4,3.6,0.22,334479.75,62973.4,271506.35
10,前衛火影,0.36,27.0,20.0,0.35,80543.86,16315.82,64228.04,6.2,4.5,0.38,237372.73,50378.72,186994.01
