horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
4,價值傳承,-0.23,5.2,6.3,-0.17,296538.0,33946.52,262591.48,2.2,3.1,-0.29,459460.87,47791.72,411669.15
1,馬力,-0.13,4.3,4.7,-0.09,358604.09,45502.79,313101.3,1.8,2.2,-0.18,561563.29,67342.87,494220.42
5,品德寶寶,-0.12,7.0,8.3,-0.16,220285.37,25766.64,194518.73,2.0,2.2,-0.09,505406.96,67342.87,438064.09
2,燭光晚餐,-0.1,15.0,15.0,0.0,102799.84,14257.54,88542.3,3.6,4.5,-0.2,280781.65,32923.18,247858.47
11,飛來閃耀,-0.02,11.0,11.0,0.0,140181.6,19442.1,120739.5,3.1,3.2,-0.03,326069.01,46298.23,279770.78
10,富心星,0.02,4.1,4.4,-0.07,376096.98,48605.25,327491.73,1.9,1.7,0.12,532007.33,87149.6,444857.73
6,怡傲錢莊,0.03,23.0,20.0,0.15,67043.37,10693.16,56350.21,5.1,5.6,-0.09,198198.81,26456.13,171742.68
7,藍地球,0.19,18.0,14.0,0.29,85666.53,15275.94,70390.59,5.3,4.8,0.1,190719.61,30865.48,159854.13
12,領航君子,0.24,40.0,31.0,0.29,38549.94,6898.81,31651.13,8.4,7.1,0.18,120334.99,20866.81,99468.18
9,贏完又贏,0.28,49.0,36.0,0.36,31469.34,5940.64,25528.7,9.5,7.9,0.2,106401.47,18753.71,87647.76
3,紅逸舍,0.47,23.0,16.0,0.44,67043.37,13366.44,53676.93,6.0,4.0,0.5,168468.99,37038.58,131430.41
8,友駿同心,0.62,14.0,9.1,0.54,110142.69,23501.44,86641.25,4.1,2.4,0.71,246539.98,61730.97,184809.01
