horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
12,寶成智星,-0.17,6.6,8.2,-0.2,394621.5,42770.92,351850.58,2.2,2.6,-0.15,826351.5,88294.04,738057.46
6,八心之星,-0.11,4.3,5.9,-0.27,605698.12,59444.33,546253.79,2.3,2.2,0.05,790423.17,104347.5,686075.67
8,極速滿貫,-0.1,13.0,14.0,-0.07,200346.3,25051.54,175294.76,3.8,4.4,-0.14,478414.03,52173.75,426240.28
1,本領非凡,-0.07,8.5,7.8,0.09,306411.99,44964.3,261447.69,2.4,3.1,-0.23,757488.88,74053.06,683435.82
9,耀昌勝世,-0.05,9.7,10.0,-0.03,268505.35,35072.15,233433.2,2.7,2.9,-0.07,673323.44,79160.17,594163.27
5,贏玥,0.05,10.0,10.0,0.0,260450.19,35072.15,225378.04,3.3,3.0,0.1,550901.0,76521.5,474379.5
4,康昌之星,0.07,6.0,5.1,0.18,434083.65,68768.93,365314.72,2.2,2.3,-0.04,826351.5,99810.65,726540.85
11,多利神駒,0.19,13.0,11.0,0.18,200346.3,31883.77,168462.53,3.6,3.0,0.2,504992.58,76521.5,428471.08
10,無極勇將,0.19,35.0,28.0,0.25,74414.34,12525.77,61888.57,6.9,6.1,0.13,263474.39,37633.52,225840.87
7,得意佳作,0.19,17.0,13.0,0.31,153205.99,26978.58,126227.41,4.7,4.4,0.07,386802.83,52173.75,334629.08
3,赤風驪,0.22,13.0,10.0,0.3,200346.3,35072.15,165274.15,4.6,4.0,0.15,395211.59,57391.12,337820.47
2,同心,0.49,28.0,19.0,0.47,93017.92,18459.03,74558.89,7.8,5.2,0.5,233073.5,44147.02,188926.48
