horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
12,東方福寶,-0.24,11.0,11.0,0.0,579646.35,70678.88,508967.47,1.9,3.7,-0.49,3074975.17,160159.03,2914816.14
8,添喜運,-0.11,4.7,5.6,-0.16,1356619.12,138833.5,1217785.62,1.9,2.0,-0.05,3074975.17,296294.21,2778680.96
10,太行美景,-0.09,13.0,15.0,-0.13,490469.99,51831.17,438638.82,4.3,4.5,-0.04,1358709.96,131686.32,1227023.64
9,天火同德,-0.05,14.0,17.0,-0.18,455436.42,45733.39,409703.03,4.6,4.3,0.07,1270098.44,137811.26,1132287.18
5,千杯,0.0,7.8,8.7,-0.1,817449.98,89364.09,728085.89,3.2,2.9,0.1,1825766.51,204340.84,1621425.67
6,快樂寶寶,0.03,6.5,7.1,-0.08,980939.98,109502.48,871437.5,2.4,2.1,0.14,2434355.34,282184.96,2152170.38
4,獵寶勤,0.09,5.0,4.4,0.14,1275221.97,176697.19,1098524.78,2.0,1.9,0.05,2921226.41,311888.64,2609337.77
2,跑得好快,0.1,8.5,8.0,0.06,750130.57,97183.45,652947.12,3.2,2.8,0.14,1825766.51,211638.72,1614127.79
3,歷險大將,0.13,10.0,8.9,0.12,637610.98,87355.91,550255.07,3.3,2.9,0.14,1770440.25,204340.84,1566099.41
11,富貴駒,0.2,42.0,35.0,0.2,151812.14,22213.36,129598.78,10.0,8.4,0.19,584245.28,70546.24,513699.04
1,快活同盟,0.2,53.0,43.0,0.23,120303.96,18080.64,102223.32,14.0,12.0,0.17,417318.06,49382.37,367935.69
7,戰騎飛,0.46,27.0,19.0,0.42,236152.22,40919.35,195232.87,8.1,5.4,0.5,721290.47,109738.6,611551.87
