馬匹編號,馬名,平均比標準時間
1,日出東方,-0.29
11,飛來霸,-0.05
13,英雄豪邁,0.21
2,飛輪霸,0.24
4,勝萬金,0.32
9,步步合拍,0.35
5,電子騰飛,0.41
6,馬運高,0.52
10,精彩勇將,0.78
3,展雄威,0.91
