馬匹編號,馬名,平均比標準時間
10,起舞奜奜,-0.07
9,顯勝高昇,0.08
8,光年程祥,0.12
1,穿甲戰鷹,0.22
7,常嚐發財,0.27
4,快搏,0.36
12,勇者無敵,0.43
3,日馳千里,0.55
6,廚神,0.87
2,愛國者,0.96
11,活得健康,2.6
