馬匹編號,馬名,完成時間
2,超加加,98.72
1,奮鬥心,98.76
11,林寶精神,98.83
14,午夜快車,98.96
4,加州星馳,99.01
9,花開,99.11
7,風繼續吹,99.16
6,艾莉奧,99.74
12,川河型駒,99.82
5,有派頭,99.97
3,精彩動力,100.75
13,旭能精英,100.82
